timeStampNs,gameTime,posX,posY,posZ,rotX,rotY,rotZ,
31014200,0.0000,-2.4270,0.0000,-0.4420,0.0000,0.0000,0.0000,
945778800,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
980763100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1019006100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1029963900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1044012900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1057410700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1071253100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1085057100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1099298900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1113286000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1126895400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1140662700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1154791000,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1168980400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1181918700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1195942900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1210675400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1224893500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1237458700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1252461400,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1266499700,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1279478900,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1294426500,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
1308177100,0.0000,-2.4270,0.0574,-0.4420,0.0000,0.0000,0.0000,
