timeStampNs,gameTime,buttonSelection,
5844035000,0.0000,StartButton
197695577000,191.8381,Dine In
206547399500,200.6897,No Standing Table
216031043300,210.1733,Yes Take Out
224412552400,218.5546,MenuTakeOut
